"SAMSUNG Galaxy Book3 Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) NP750XFG-KA3IN Thin and Light Laptop  (15.6 Inch, Graphite, 1.58 Kg, With MS Office)","[['Sales Package', 'Laptop, Adapter, Cable'], ['Model Number', 'NP750XFG-KA3IN'], ['Part Number', 'NP750XFG-KA3IN'], ['Series', 'Galaxy Book3'], ['Color', 'Graphite'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Power Supply', '54 Wh 45 W USB Type-C Adapter'], ['MS Office Provided', 'Yes']]"
"SAMSUNG Galaxy Book3 Pro EVO AMOLED Intel Core i7 13th Gen 1360P - (16 GB/1 TB SSD/Windows 11 Home) NP940XFG-KC5IN Thin and Light Laptop  (14 Inch, Graphite, 1.17 Kg, With MS Office)","[['Sales Package', 'Laptop, Adapter, Cable'], ['Model Number', 'NP940XFG-KC5IN'], ['Part Number', 'NP940XFG-KC5IN'], ['Model Name', 'Galaxy Book3 Pro'], ['Series', 'Galaxy Book3 Pro EVO AMOLED'], ['Color', 'Graphite'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['MS Office Provided', 'Yes']]"
"APPLE 2020 Macbook Air Apple M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN93HN/A  (13.3 inch, Silver, 1.29 kg)","[['Sales Package', 'MacBook Air, 30 W USB-C Power Adapter, USB-C Charge Cable (2m), User Guide, Warranty Documents'], ['Model Number', 'MGN93HN/A'], ['Part Number', 'MGN93HN/A'], ['Series', '2020 Macbook Air'], ['Color', 'Silver'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Backup', 'Upto 15 Hours'], ['Power Supply', '30 W AC Adapter'], ['MS Office Provided', 'No']]"
"APPLE 2020 Macbook Air Apple M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGND3HN/A  (13.3 inch, Gold, 1.29 kg)","[['Sales Package', 'MacBook Air, 30 W USB-C Power Adapter, USB-C Charge Cable (2m), User Guide, Warranty Documents'], ['Model Number', 'MGND3HN/A'], ['Part Number', 'MGND3HN/A'], ['Series', '2020 Macbook Air'], ['Color', 'Gold'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Backup', 'Upto 15 Hours'], ['Power Supply', '30 W AC Adapter'], ['MS Office Provided', 'No']]"
"ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS | X515EA-EJ328WS | X1500EA-EJ3379WS Thin and Light Laptop  (15.6 Inch, Transparent Silver, 1.80 kg, With MS Office)","[['Sales Package', 'Laptop, Battery, Adapter, Cables and User Manuals'], ['Model Number', 'X515EA-EJ322WS | X515EA-EJ328WS | X1500EA-EJ3379WS'], ['Part Number', '90NB0TY2-M00JK0 | 90NB0TY2-M047X0 | 90NB0TY6-M03EL0'], ['Model Name', 'X515EA-EJ322WS | X515EA-EJ328WS | X1500EA-EJ3379WS'], ['Series', 'Vivobook 15'], ['Color', 'Transparent Silver'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Cell', '2 Cell'], ['MS Office Provided', 'Yes']]"
"SAMSUNG Galaxy Book2 Pro EVO AMOLED Intel Core i5 12th Gen 1240P - (16 GB/512 GB SSD/Windows 11 Home) NP930XED-KB3IN Thin and Light Laptop  (13.3 Inch, Silver, 0.87 Kg, With MS Office)","[['Sales Package', 'Laptop, Adapter, Cable'], ['Model Number', 'NP930XED-KB3IN'], ['Part Number', 'NP930XED-KB3IN'], ['Model Name', 'Galaxy Book2 Pro'], ['Series', 'Galaxy Book2 Pro EVO AMOLED'], ['Color', 'Silver'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['MS Office Provided', 'Yes']]"
"CHUWI Intel Core i3 10th Gen 1005G1 - (8 GB/512 GB SSD/Windows 11 Home) CoreBook X Grey Laptop  (14 inch, Grey, 1.40 kg)","[['Sales Package', 'Laptop, Charger, User Guide Manual'], ['Model Number', 'CoreBook X Grey'], ['Part Number', 'CWI575'], ['Model Name', 'CoreBook X'], ['Color', 'Grey'], ['Type', 'Laptop'], ['Suitable For', 'Entertainment, Everyday Use, Learning, Processing & Multitasking, Travel & Business'], ['Battery Backup', 'Up To 8 Hours'], ['Power Supply', '65 W AC Adapter'], ['MS Office Provided', 'No'], ['Inbuilt 4G LTE', 'No'], ['Stylus Included', 'No']]"
"Lenovo IdeaPad Slim 1 Intel Celeron Dual Core N4020 - (8 GB/256 GB SSD/Windows 11 Home) 14IGL7 Thin and Light Laptop  (14 Inch, Cloud Grey, 1.3 Kg, With MS Office)","[['Sales Package', 'Laptop, User manual, Adapter'], ['Model Number', '14IGL7'], ['Part Number', '82V6006EIN'], ['Model Name', '14IGL7'], ['Series', 'IdeaPad Slim 1'], ['Color', 'Cloud Grey'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Backup', 'Upto 11 Hours'], ['MS Office Provided', 'Yes']]"
"ASUS Vivobook S 14 Intel EVO H-Series Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home) S3402ZA-LY542WS Thin and Light Laptop  (14 inch, Indie Black, 1.50 Kg)","[['Sales Package', 'Laptop, battery, power adapter, user guide'], ['Model Number', 'S3402ZA-LY542WS'], ['Part Number', '90NB0WE2-M00P50'], ['Model Name', 'S3402ZA-LY542WS'], ['Series', 'Vivobook S 14 Intel EVO H-Series'], ['Color', 'Indie Black'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Cell', '3 cell'], ['MS Office Provided', 'No']]"
"HP 15s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5007TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 kg, With MS Office)","[['Sales Package', 'Laptop, Battery, Adapter, Cables, User Manuals'], ['Model Number', '15s-fq5007TU'], ['Part Number', '67V50PA#ACJ'], ['Model Name', '15s-fq5007TU'], ['Series', '15s'], ['Color', 'Natural Silver'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Cell', '3 Cell'], ['MS Office Provided', 'Yes']]"
